ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2018-05-23,,-
2017-03-15 - 2019-02-24,2018-05-24,,3
2017-03-15 - 2019-02-24,2018-05-25,,2
2017-03-15 - 2019-02-24,2018-05-26,,2
2017-03-15 - 2019-02-24,2018-05-27,,1
2017-03-15 - 2019-02-24,2018-05-28,,2
2017-03-15 - 2019-02-24,2018-05-29,,2
2017-03-15 - 2019-02-24,2018-05-30,,1
2017-03-15 - 2019-02-24,2018-05-31,,1
2017-03-15 - 2019-02-24,2018-06-01,,3
2017-03-15 - 2019-02-24,2018-06-02,,4
2017-03-15 - 2019-02-24,2018-06-03,,2
2017-03-15 - 2019-02-24,2018-06-04,,1
2017-03-15 - 2019-02-24,2018-06-05,,1
2017-03-15 - 2019-02-24,2018-06-06,,1
2017-03-15 - 2019-02-24,2018-06-07,,2
2017-03-15 - 2019-02-24,2018-06-08,,2
2017-03-15 - 2019-02-24,2018-06-09,,1
2017-03-15 - 2019-02-24,2018-06-10,,2
2017-03-15 - 2019-02-24,2018-06-11,,2,Rollout of release - Increased rollout of 1.26.5 to 100%
2017-03-15 - 2019-02-24,2018-06-12,,-
2017-03-15 - 2019-02-24,2018-06-13,,1
2017-03-15 - 2019-02-24,2018-06-14,,-
2017-03-15 - 2019-02-24,2018-06-15,,1
2017-03-15 - 2019-02-24,2018-06-16,,-
2017-03-15 - 2019-02-24,2018-06-17,,2
